Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2021,8,Emily Hubbard,OH,6-0,,,Sr.,"San Diego, Calif. / Santa Fe Christian HS"
2021,9,Trinity Castaneda,OPP,6-1,,,Sr.,"Indio, Calif. / Shadow Hills HS"
2021,10,Isabela Dobra,S,5-7,,,Sr.,"Bucharest, Romania / Colegiul Tehnic Anghel Saligny"
2021,11,Dani Mason,MB/OPP,6-1,,,So.,"Las Vegas, Nev. / The Meadows School"
2021,14,Morgan Gallagher,OH,6-1,,,Sr.,"Ventura, Calif. / Foothill Technology HS"
2021,16,Izzi Strand,S,6-1,,,So.,"Danville, Calif. / Monte Vista"
2021,17,Emily McDaniel,MB,6-4,,,Fr.,"Anaheim, Calif. / Canyon HS"
2021,23,Natalie Repetti,L,5-10,,,So.,"Cypress, Calif. / Cypress HS"
2021,24,Odeya Russo,OH/L,5-10,,,So.,"Palo Alto, Calif. / Gunn HS"
2021,25,Cindy Tran,MB,6-1,,,Gr.,"Irvine, Calif. / Arnold O. Beckman HS"
2021,33,Zaria Henderson,OH,5-10,,,Fr.,"Fullerton, Calif. / Mater Dei HS"
2022,0,Izabella Santa Cruz,S,5-10,,International Business,R-Fr.,"Rancho Cucamonga, Calif. / Los Osos HS"
2022,2,Naya Dong,L,5-5,,Human Development,Sr.,"Kailua, Hawaii / Iolani School"
2022,3,Juliette Bokor,MB,6-1,,Molecular & Cell Biology,So.,"Fountain Valley, Calif. / Fountain Valley HS"
2022,4,Ava McInnes,OH,6-2,,Public Health,So.,"Tustin, Calif. / Tustin HS"
2022,5,Sabire Karacaova,OH,5-10,,International Studies- Intl. Business,So.,"Istanbul, Turkey / TED Istanbul College"
2022,6,Grace Cannon,OPP,6-0,,Communications,Sr.,"Tustin, Calif. / Foothill"
2022,7,Reagan Dryden,OH,6-0,,Human Biology,Fr.,"Los Gatos, Calif. / Archbishop Mitty HS"
2022,8,Katie Rapp,OH,6-0,,Political Science,Fr.,"Rancho Mirage, Calif. / Palm Desert HS"
2022,9,Shara Da Silva,MB,6-1,,Psychology,Jr.,"Goiânia, Goiás, Brazil / Gateway Legacy Christian Academy"
