Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2022,12,Zach Tonnerre,RHP,6-9,,Communications,Jr.,"Tiburon, Calif. / Redwood HS"
2022,13,Ryan McNally,INF,5-11,,Economics,Sr.,"Moraga, Calif. / Campolindo HS"
2022,14,Austin Smith,LHP/OF,5-10,,Sociology,Fr.,"San Diego, Calif. / Granite Hills HS"
2022,15,Jalen Smith,INF,6-0,,Communications,Jr.,"Bakersfield, Calif. / Stockdale HS"
2022,16,Tyler Weiner,OF,6-3,,Cognitive Behavioral Neuroscience,Jr.,"Murrieta, Calif. / Murrieta Valley HS"
2022,17,Cole Dale,RHP,6-2,,Cognitive Behavioral Neuroscience,Jr.,"Los Angeles, Calif. / Maranatha HS"
2022,18,Luke Glascoe,OF,5-11,,Cognitive Sciences,Jr.,"Huntington Beach, Calif. / Huntington Beach HS"
2022,20,Sam Hasegawa,LHP/OF,6-0,,Mechanical Engineering,Fr.,"Carlsbad, Calif. / Carlsbad HS"
2022,21,Nolan McCracken,RHP,6-2,,Economics,Fr.,"Windsor, Colo. / Windsor HS"
2022,22,Noah Conlon,RHP,6-0,,Finance,Gr.,"Placentia, Calif. / El Dorado HS"
2022,23,Anthony Lucchetti,OF,6-1,,Political Science - Political Theory,R-Sr.,"Linden, Calif. / Linden HS"
2022,24,Joe Soberon,RHP,6-1,,Sociology: Law and Society,So.,"Concord, Calif. / Clayton Valley Charter HS"
2022,25,Ryan Rissas,LHP,6-3,,Business Economics,So.,"San Ramon, Calif. / California HS"
2022,26,Blake FitzGerald,C,6-1,,Political Science,Sr.,"Mission Viejo, Calif. / Capistrano Valley HS"
2022,27,Ryan Forcucci,RHP,6-2,,Business Psychology,Fr.,"San Marcos, Calif. / San Marcos HS"
2022,28,Matthew Dalquist,RHP,5-10,,Data Science,Fr.,"Redondo Beach, Calif. / Redondo Union HS"
2022,29,Patrick Hackworth,INF,5-9,,Business Economics,Fr.,"Irvine, Calif. / Irvine HS"
2022,30,Emiliano Gonzalez,C,5-10,,Master of Professional Accountancy,Fr.,"Azusa, Calif. / Glendora HS"
2022,31,Ethan Holt,RHP,6-2,,International Business,Jr.,"San Clemente, Calif. / San Clemente HS"
2022,32,Ben Pajak,RHP/OF,6-3,,Undeclared,Fr.,"San Diego, Calif. / La Jolla Country Day"
2022,33,Aren Alvarez,RHP,5-11,,Public Health,Jr.,"Rancho Cucamonga, Calif. / Los Osos HS"
2022,34,Marc Filia,C/OF,6-2,,Real Estate Development,Jr.,"Irvine, Calif. / Irvine HS"
2022,35,Brock Kleszcz,OF,6-2,,Real Estate and Development,So.,"Valencia, Calif. / Valencia HS"
2022,37,Lonnie Morris,LHP,6-1,,General Biology,Sr.,"Anaheim Hills, Calif. / Orange Lutheran HS"
2022,38,Jalen Fejeran,RHP/INF,5-10,,Electrical Engineer,Jr.,"Chula Vista, Calif. / Eastlake High"
