Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2014,35,Katie Springs,C,6-0,,Political Science: Pre-Law,Jr.,"San Jose, Calif. / Archbishop Mitty HS"
2015,2,Grace Talbot,G,5-7,,Communications,So.,"Littleton, Colo. / Chatfield Senior HS"
2015,3,Sumayah Sugapong,G,5-7,,Undeclared,Fr.,"San Diego, Calif. / La Jolla Country Day"
2015,5,Gabby Louther,G,5-11,,Undeclared,So.,"Pueblo West, Colo. / Pueblo West HS"
2015,11,Erin Condron,F/C,6-4,,Human Biology,Fr.,"Woodend, Victoria, Australia / Braemar College"
2015,12,Rosa Smith,G,5-7,,Human Developmental Sciences,So.,"Kirkland, Wash. / Lake Washington HS"
2015,13,Meaali‘i Amosa,F,6-1,,Communications,Jr.,"Garden Grove, Calif. / Mater Dei HS"
2015,20,Izzy Forsyth,G,6-0,,Communications,Jr.,"Vancouver, BC / Semiahmoo Secondary School"
2015,22,Gracie Gallegos,G,6-1,,Undeclared,R-Fr.,"Denver, Colo. / Mullen HS"
2015,23,Eri Blithikioti,G,5-11,,Undeclared,Fr.,"Athens, Greece / American Community Schools of Athens (ACS Athens)"
2015,24,Denali Pinto,G,6-0,,Finance,Gr.,"Boulder, Colo. / Fairview HS"
