Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2015,9,Tiki Toplak,2M,6-1,,,Sr.,"Huntington Beach, CA / Huntington Beach HS"
2015,10,Andreas Stathatos,UTL,6-4,,,Fr.,"San Diego, CA / Mt. Carmel HS"
2015,11,Kevin Asplund,UTL,6-3,,,Fr.,"San Jose, CA / Leland HS"
2015,12,Daniel Straub,UTL,6-1,,,Sr.,"San Diego, CA / Patrick Henry HS"
2015,13,Carson Ivancovich,UTL,6-4,,,Fr.,"Fresno, CA / Clovis North HS"
2015,14,Jimmy LeBeau,UTL,6-3,,,Jr.,"La Jolla, CA / La Jolla HS"
2015,15,Brett Luch,DRI,5-11,,,Fr.,"Carmel, CA / Carmel HS"
2015,16,Austin Norris,UTL,6-0,,,R-Fr.,"Manhattan Beach, CA / Mira Costa HS"
2015,17,Jake LeBeau,DRI,6-3,,,Fr.,"La Jolla, CA / La Jolla HS"
2015,18,Noah Nelson,DRI,6-1,,,Fr.,"Huntington Beach, CA / Huntington Beach HS"
2015,19,Collin Sullivan,UTL,6-1,,,Fr.,"Escondido, CA / San Pasqual HS"
2015,20,Patrick Harding,UTL,6-2,,,R-So.,"Huntington Beach, CA / Servite HS"
2015,21,Andy Moore,DRI,5-11,,,Jr.,"Agoura Hills, CA / Agoura HS"
2015,22,Nick Alexander,DRI,6-1,,,Jr.,"Clovis, CA / Clovis HS"
2015,23,Ari Wayne,DRI,5-10,,,Fr.,"Palo Alto, CA / Henry M. Gunn HS"
2015,24,Kacper Langiewicz,2M,6-4,,,Fr.,"San Marcos, CA / Mission Hills HS"
2016,1,Oleg Koujikov,GK,6-0,,,Jr.,"Mountain View, CA / Mountain View HS"
2016,1,Sam Thompson,GK,6-8,,,So.,"Villa Park, CA / Villa Park HS"
2016,1,Jack Turner,GK,6-7,,,So.,"Fremont, CA / Bellarmine College Prep"
2016,2,Ari Wayne,UTL,5-10,,,R-Fr.,"Palo Alto, CA / Henry M. Gunn HS"
2016,3,Jack Ellinthorpe,UTL,6-3,,,Sr.,"Long Beach, CA / Granite Bay HS"
2016,4,Kacper Langiewicz,UTL,6-4,,,R-Fr.,"San Marcos, CA / Mission Hills HS"
2016,5,Thomas Higginson,UTL,6-0,,,So.,"San Diego, CA / The Bishop's School"
